IC_2023/09/27 00:53:00  - IC is running.
IC_2023/09/27 00:53:09  - IC is handling a request from CC0.
IC_2023/09/27 00:53:09  - IC is processing the request.
IC_2023/09/27 00:53:11  - IC is about to send a response to CC0
IC_2023/09/27 00:53:11  - IC sent a response to CC0,
IC_2023/09/27 00:53:11  - IC is handling a request from CC1.
IC_2023/09/27 00:53:11  - IC is processing the request.
IC_2023/09/27 00:53:13  - IC is about to send a response to CC1
IC_2023/09/27 00:53:13  - IC sent a response to CC1,
IC_2023/09/27 00:53:13  - IC is handling a request from CC2.
IC_2023/09/27 00:53:13  - IC is processing the request.
IC_2023/09/27 00:53:15  - IC is about to send a response to CC2.
IC_2023/09/27 00:53:15  - IC sent a response to CC2,
IC_2023/09/27 00:53:24  - IC has received an external signal to terminate.
