CC0_2023/10/01 19:25:52  - CC0 is running.
CC0_2023/10/01 19:26:00  - CC0 received a broadcast message from Interconnect.
CC0_2023/10/01 19:26:00  - The type of request is ReadRequest.
CC0_2023/10/01 19:26:00  - The data is not in the local cache.
CC0_2023/10/01 19:26:00  - CC0 responded to the Broadcast Message with Match: false, Data: 0, Status: I.
CC0_2023/10/01 19:26:09  - CC0 received a request from PE0.
CC0_2023/10/01 19:26:09  - CC0 is processing a READ request.
CC0_2023/10/01 19:26:09  - The Address to read from is: 6.
CC0_2023/10/01 19:26:09  - The address 6 is not in the local cache.
CC0_2023/10/01 19:26:11  - CC0 is about to send a 'readRequest' to the Interconnect.
CC0_2023/10/01 19:26:11  - CC0 sent a 'readRequest' to the Interconnect
CC0_2023/10/01 19:26:11  - CC0 is waiting for the data from the Interconnect.
CC0_2023/10/01 19:26:14  - CC0 received a response from the Interconnect with the value: 42.
CC0_2023/10/01 19:26:14  - CC0 is storing the value 42 into the local cache at the address 6.
CC0_2023/10/01 19:26:14  - The address doesn't exist in the local cache.
CC0_2023/10/01 19:26:14  - CC0 stored the value 42 at the memory address 6 and the cache block 0.
CC0_2023/10/01 19:26:14  - The new state of address 6 is 'S'.
CC0_2023/10/01 19:26:15  - CC0 will send a response to the PE.
CC0_2023/10/01 19:26:15  - CC0 sent the response to the PE.
CC0_2023/10/01 19:26:17  - CC0 received a broadcast message from Interconnect.
CC0_2023/10/01 19:26:17  - The type of request is ReadRequest.
CC0_2023/10/01 19:26:17  - The data is in the local cache.
CC0_2023/10/01 19:26:17  - CC0 responded to the Broadcast Message with Match: true, Data: 42, Status: S.
CC0_2023/10/01 19:26:17  - CC0 changed the status of the cache block 0 to S.
CC0_2023/10/01 19:26:34  - CC0 has received an external signal to terminate.
