CC1_2023/10/01 19:25:52  - CC1 is running.
CC1_2023/10/01 19:26:00  - CC1 received a broadcast message from Interconnect.
CC1_2023/10/01 19:26:00  - The type of request is ReadRequest.
CC1_2023/10/01 19:26:00  - The data is not in the local cache.
CC1_2023/10/01 19:26:00  - CC1 responded to the Broadcast Message with Match: false, Data: 0, Status: I.
CC1_2023/10/01 19:26:11  - CC1 received a broadcast message from Interconnect.
CC1_2023/10/01 19:26:11  - The type of request is ReadRequest.
CC1_2023/10/01 19:26:11  - The data is not in the local cache.
CC1_2023/10/01 19:26:11  - CC1 responded to the Broadcast Message with Match: false, Data: 0, Status: I.
CC1_2023/10/01 19:26:15  - CC1 received a request from PE1.
CC1_2023/10/01 19:26:15  - CC1 is processing a READ request.
CC1_2023/10/01 19:26:15  - The Address to read from is: 6.
CC1_2023/10/01 19:26:15  - The address 6 is not in the local cache.
CC1_2023/10/01 19:26:17  - CC1 is about to send a 'readRequest' to the Interconnect.
CC1_2023/10/01 19:26:17  - CC1 sent a 'readRequest' to the Interconnect
CC1_2023/10/01 19:26:17  - CC1 is waiting for the data from the Interconnect.
CC1_2023/10/01 19:26:20  - CC1 received a response from the Interconnect with the value: 42.
CC1_2023/10/01 19:26:20  - CC1 is storing the value 42 into the local cache at the address 6.
CC1_2023/10/01 19:26:20  - The address doesn't exist in the local cache.
CC1_2023/10/01 19:26:20  - CC1 stored the value 42 at the memory address 6 and the cache block 0.
CC1_2023/10/01 19:26:20  - The new state of address 6 is 'S'.
CC1_2023/10/01 19:26:21  - CC1 will send a response to the PE.
CC1_2023/10/01 19:26:21  - CC1 sent the response to the PE.
CC1_2023/10/01 19:26:34  - CC1 has received an external signal to terminate.
