MM_2023/10/06 02:53:47  - MM is running.
MM_2023/10/06 02:59:17  - MM Received request from Interconect.
MM_2023/10/06 02:59:17  - MM is processing a READ request.
MM_2023/10/06 02:59:17  - Address: 3.
MM_2023/10/06 02:59:22  - MM has sent the response back to IC.
MM_2023/10/06 02:59:28  - MM Received request from Interconect.
MM_2023/10/06 02:59:28  - MM is processing a READ request.
MM_2023/10/06 02:59:28  - Address: 2.
MM_2023/10/06 02:59:33  - MM has sent the response back to IC.
MM_2023/10/06 02:59:39  - MM Received request from Interconect.
MM_2023/10/06 02:59:39  - MM is processing a READ request.
MM_2023/10/06 02:59:39  - Address: 10.
MM_2023/10/06 02:59:44  - MM has sent the response back to IC.
MM_2023/10/06 02:59:51  - MM Received request from Interconect.
MM_2023/10/06 02:59:51  - MM is processing a READ request.
MM_2023/10/06 02:59:51  - Address: 7.
MM_2023/10/06 02:59:56  - MM has sent the response back to IC.
MM_2023/10/06 03:00:02  - MM Received request from Interconect.
MM_2023/10/06 03:00:02  - MM is processing a READ request.
MM_2023/10/06 03:00:02  - Address: 0.
MM_2023/10/06 03:00:07  - MM has sent the response back to IC.
MM_2023/10/06 03:00:13  - MM Received request from Interconect.
MM_2023/10/06 03:00:13  - MM is processing a READ request.
MM_2023/10/06 03:00:13  - Address: 12.
MM_2023/10/06 03:00:18  - MM has sent the response back to IC.
MM_2023/10/06 03:00:24  - MM Received request from Interconect.
MM_2023/10/06 03:00:24  - MM is processing a READ request.
MM_2023/10/06 03:00:24  - Address: 11.
MM_2023/10/06 03:00:29  - MM has sent the response back to IC.
MM_2023/10/06 03:00:43  - MM has received an external signal to terminate.
